"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\dust_animation_component.dart", "Dart", 127, 9, 22, 158
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\reward_overlay.dart", "Dart", 1135, 41, 144, 1320
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\reward_overlay_controller.dart", "Dart", 63, 2, 12, 77
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\rupee_coin_widget.dart", "Dart", 118, 8, 22, 148
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_enemy_state.dart", "Dart", 30, 2, 6, 38
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_exit_button.dart", "Dart", 157, 10, 15, 182
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_config.dart", "Dart", 11, 7, 5, 23
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_model.dart", "Dart", 17, 1, 4, 22
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_service.dart", "Dart", 50, 6, 15, 71
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_map_loader.dart", "Dart", 40, 21, 8, 69
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_popup.dart", "Dart", 191, 8, 17, 216
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\beat_timer_controller.dart", "Dart", 83, 14, 18, 115
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\beat_timer_display.dart", "Dart", 391, 13, 36, 440
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_hud.dart", "Dart", 113, 4, 5, 122
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_effects.dart", "Dart", 179, 12, 19, 210
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_models.dart", "Dart", 64, 3, 6, 73
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_painters.dart", "Dart", 166, 12, 22, 200
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_world_session.dart", "Dart", 34, 7, 10, 51
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_loader.dart", "Dart", 96, 1, 13, 110
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_model.dart", "Dart", 34, 1, 5, 40
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_state.dart", "Dart", 264, 6, 51, 321
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_widget.dart", "Dart", 81, 0, 8, 89
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\cell_widget.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\spawn_zone.dart", "Dart", 19, 1, 3, 23
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\cheat\cheat_menu.dart", "Dart", 494, 26, 58, 578
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_definition.dart", "Dart", 19, 11, 6, 36
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_hud_button.dart", "Dart", 143, 9, 16, 168
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_model.dart", "Dart", 35, 0, 5, 40
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_popup.dart", "Dart", 573, 24, 50, 647
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_registry.dart", "Dart", 15, 10, 5, 30
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\chest_service.dart", "Dart", 51, 2, 12, 65
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\reward_definitions\chest_beat_map_1.dart", "Dart", 7, 3, 3, 13
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\chest\reward_definitions\chest_beat_map_2.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\base\enemy_behavior.dart", "Dart", 3, 2, 2, 7
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\base\enemy_component.dart", "Dart", 47, 3, 8, 58
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\enemy_rewards.dart", "Dart", 29, 9, 8, 46
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\types\level1\level1_enemy_component.dart", "Dart", 124, 7, 18, 149
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\types\level1\level1_enemy_model.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\types\level2\level2_enemy_component.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\enemy\types\level2\level2_enemy_model.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\energy\energy_display.dart", "Dart", 74, 1, 9, 84
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\energy\energy_service.dart", "Dart", 76, 2, 18, 96
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\cell_component.dart", "Dart", 258, 11, 37, 306
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\chess_game.dart", "Dart", 168, 4, 28, 200
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_beat_mixin.dart", "Dart", 118, 5, 23, 146
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_board_mixin.dart", "Dart", 131, 5, 19, 155
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_callbacks_mixin.dart", "Dart", 133, 5, 25, 163
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_helpers_mixin.dart", "Dart", 46, 6, 9, 61
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_portal_mixin.dart", "Dart", 222, 9, 53, 284
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\mixins\game_state_mixin.dart", "Dart", 60, 9, 12, 81
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\game\piece_component.dart", "Dart", 65, 1, 11, 77
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\hud\hud_toggle_button.dart", "Dart", 51, 1, 9, 61
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\inventory_display.dart", "Dart", 684, 16, 47, 747
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\inventory_service.dart", "Dart", 152, 8, 32, 192
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\item_effect.dart", "Dart", 4, 2, 3, 9
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\item_effect_handler.dart", "Dart", 11, 4, 5, 20
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\item_factory.dart", "Dart", 15, 1, 2, 18
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\item_model.dart", "Dart", 80, 12, 17, 109
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\inventory\upgrades\energy_upgrades.dart", "Dart", 63, 7, 7, 77
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\main.dart", "Dart", 387, 15, 31, 433
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\piece\piece_model.dart", "Dart", 19, 1, 4, 24
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_crazy_display.dart", "Dart", 40, 1, 5, 46
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_display.dart", "Dart", 29, 0, 4, 33
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_gold_display.dart", "Dart", 30, 0, 4, 34
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_hud_pill.dart", "Dart", 40, 0, 7, 47
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_level_display.dart", "Dart", 44, 0, 5, 49
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_rage_display.dart", "Dart", 40, 0, 5, 45
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\player\player_service.dart", "Dart", 249, 28, 48, 325
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_component.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_model.dart", "Dart", 7, 1, 3, 11
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_service.dart", "Dart", 31, 1, 8, 40
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_type.dart", "Dart", 1, 1, 1, 3
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_types\beat_portal.dart", "Dart", 20, 1, 3, 24
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_types\level_exit_portal.dart", "Dart", 7, 1, 3, 11
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\portal\portal_types\world_portal.dart", "Dart", 14, 1, 3, 18
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\shared\app_theme.dart", "Dart", 0, 0, 1, 1
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\active_skill_service.dart", "Dart", 23, 5, 8, 36
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\base_moves\base_move.dart", "Dart", 5, 0, 3, 8
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\base_moves\standard_move.dart", "Dart", 23, 0, 3, 26
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\move_skills\dash_skill.dart", "Dart", 36, 4, 12, 52
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\move_skills\move_skill_base.dart", "Dart", 11, 0, 4, 15
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\skill_button.dart", "Dart", 950, 23, 63, 1036
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\skill_model.dart", "Dart", 111, 10, 26, 147
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\skills\skill_service.dart", "Dart", 165, 15, 28, 208
"Total", "-", 9696, 512, 1311, 11519